Attendance,PreviousGPA,AssignmentsCompleted,SleepHours,StudyHours,InternetHours,Age,Program_ADMINISTRACION,Program_CONTADOR AUDITOR,Program_INGENIERIA CIVIL,Program_INGENIERIA INDUSTRIAL,Program_INGENIERIA INFORMATICA,Scholarship_NO,Scholarship_SI,StudentID,FinalGrade
-0.7531119990572887,1.6171657892787277,-1.3219561832404836,1.9524913799588537,-1.5253968253968255,-0.4660633484162896,0.6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,STU-11023,4.16
1.3786433757125969,1.2862219863645894,1.0667806976328347,-1.5752975946946322,-0.21111111111111117,-0.6877828054298643,1.8,0.0,0.0,1.0,0.0,0.0,0.0,1.0,STU-12567,5.14
0.503133059621342,1.217275360757476,1.0667806976328347,1.1095683506168703,0.6857142857142856,0.40950226244343885,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,STU-13751,5.61
-0.18021396657911415,-0.06513187553481316,-0.2743410426628298,1.3983475365951432,-0.07460317460317471,-0.085972850678733,2.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,STU-12256,4.18
-1.1607855206013196,-0.6442835306345567,-0.2598110129738202,-0.9743246941452554,-0.3968253968253969,1.3936651583710407,-0.2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,STU-11897,3.29
-0.5106629884474038,0.34854787810786064,-0.057843600296574794,1.0471296077026493,-0.38571428571428573,-0.5407239819004526,0.4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,STU-10843,4.7
-0.9273161029769855,-0.14786782626334743,-2.6543599057227425,0.42274217856043944,-1.096825396825397,-0.13348416289592757,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,STU-12795,2.95
0.0,-0.9752273335486963,0.785624623150482,1.351518479409477,0.16190476190476186,0.8099547511312215,-0.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,STU-12599,4.05
-0.5286221744185053,0.5691770800506203,-0.6528483160615527,0.7427407359958221,-0.3698412698412699,2.726244343891403,0.8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,STU-11886,3.88
0.8488473895650678,-0.547758254784599,0.8938733443336105,-0.7870084654025923,0.20158730158730157,-0.5067873303167422,0.4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,STU-12072,4.76
0.7518677853211135,0.2796012525007486,1.0122930862990454,-0.5138389651528756,0.4396825396825397,-0.29638009049773745,-0.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,STU-10393,5.65
-1.6232345593572137,-0.9752273335486963,-0.8279351738141284,1.3437136365451996,-1.2603174603174605,1.0656108597285068,0.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,STU-12794,2.07
0.2777452756840032,0.3209692278650163,-2.6282058522825236,-0.15481619339610495,-0.6333333333333335,0.4389140271493214,-0.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,STU-14551,3.59
1.0410106794558662,0.4037051785935506,1.0667806976328347,0.016890349618003283,0.666666666666667,0.5226244343891402,-0.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,STU-13585,5.07
0.0,-0.602915555270289,-1.6430698393676149,0.4929857643389379,-0.3968253968253969,-0.7352941176470589,0.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,STU-13445,3.24
0.004765648923243478,-1.2247380995076246e-15,1.0667806976328347,-1.387981365951969,1.5492063492063495,0.9004524886877827,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,STU-13627,5.29
0.0038676896246878857,0.8587529076004922,-0.5162660369848547,0.8988375932813748,0.5603174603174603,0.48642533936651594,-0.2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,STU-11377,4.64
-0.5340099302098363,0.26581192737932635,0.12305526933160602,0.5632293501174371,0.3793650793650795,0.5859728506787332,-0.8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,STU-10618,4.08
1.3786433757125969,1.7688483656143752,0.9875920358277274,-0.6153019223884847,0.20793650793650806,0.009049773755656116,-0.4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,STU-13348,4.82
0.8039494246373111,1.7688483656143752,0.4645109670233509,0.2588404784106093,0.08253968253968248,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,STU-13646,5.03
